stage,operation,test_number,slice_path,processed_files,processed_rows,execution_time_sec,throughput_rows_sec,dataset_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions
ingestion,standard,1,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,17.005696516999933,229273.93747750105,402.3603820800781,2026-04-18T18:28:06.902895+00:00,2026-04-18T18:28:23.908631+00:00,55.114773220486114,55.171875,0.7131752101428017,10.931944444444445,148.3,"[69.17013888888887, 70.2048611111111, 76.55069444444442, 70.74166666666667]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,440.7578125,0.63671875,826.8803844451904,826.8508529663086,0,Ingestion finished successfully,4
ingestion,standard,2,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,16.388780394000037,237904.40205223678,402.3603820800781,2026-04-18T18:59:28.583367+00:00,2026-04-18T18:59:44.972173+00:00,55.1505321557971,55.20703125,0.7136300151784605,10.397101449275361,65.3,"[70.96231884057973, 71.94927536231882, 75.53985507246378, 81.46884057971012]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,426.4453125,0.1953125,825.9944543838501,825.9943342208862,0,Ingestion finished successfully,4
ingestion,standard,3,hdfs:///data/CSV/raw-data/1st-slice/,1,3898963,16.371172969000014,238160.27155677637,402.3603820800781,2026-04-18T19:12:25.739195+00:00,2026-04-18T19:12:42.110396+00:00,55.11447878649635,55.18359375,0.7133274120812729,11.136496350364965,66.2,"[82.99562043795619, 73.22554744525547, 74.4065693430657, 70.93795620437956]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,426.33203125,0.9140625,827.6090841293335,827.6090717315674,0,Ingestion finished successfully,4
ingestion,standard,1,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,116.03595956500001,451232.2490052741,5343.146864891052,2026-04-18T19:40:22.452396+00:00,2026-04-18T19:42:18.488392+00:00,55.69302291228992,56.01171875,0.7240324857758594,10.762079831932779,142.3,"[81.15640756302537, 80.89306722689088, 81.191386554622, 82.44548319327735]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,8015.49609375,3.3515625,10858.535432815552,10858.535242080688,0,Ingestion finished successfully,44
ingestion,standard,5,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,118.76436922000002,440865.9545272327,5343.146864891052,2026-04-18T19:54:32.623065+00:00,2026-04-18T19:56:31.387470+00:00,55.269639312243854,55.60546875,0.7187807539447102,10.556967213114785,71.5,"[81.68309426229513, 82.27202868852463, 81.73135245901653, 81.23924180327876]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,8017.73828125,3.2421875,10865.724933624268,10865.724849700928,0,Ingestion finished successfully,44
ingestion,standard,6,hdfs:///data/CSV/raw-data/2nd-slice/,14,52359167,115.091186321,454936.37413698586,5343.146864891052,2026-04-18T20:02:12.227550+00:00,2026-04-18T20:04:07.318776+00:00,55.34563878188098,55.6640625,0.7195374358917391,10.82879914984063,134.7,"[81.60775770456975, 82.40797024442084, 80.76142401700326, 80.00541976620637]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,7970.89453125,2.51953125,10866.087469100952,10866.08723449707,0,Ingestion finished successfully,44
ingestion,standard,7,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,235.05277582599996,457183.6798028285,10898.749529838562,2026-04-18T20:09:47.504052+00:00,2026-04-18T20:13:42.556865+00:00,55.68172780913289,56.3359375,0.7282227466853292,10.26172396100562,66.6,"[73.28065674704995, 73.91472550025668, 75.17788609543359, 73.28553104156012]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,19197.5625,7.2109375,22147.85336303711,22147.85301876068,0,Ingestion finished successfully,90
ingestion,standard,8,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,234.85757456199997,457563.6668326023,10898.749529838562,2026-04-18T20:22:21.144556+00:00,2026-04-18T20:26:16.002174+00:00,55.73363436544342,56.40625,0.7291323728714283,10.23338430173289,133.8,"[74.3734454638126, 74.00514780835896, 74.22023445463827, 74.00331294597383]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,19213.71484375,7.26953125,22144.162150382996,22144.161805152893,0,Ingestion finished successfully,90
ingestion,standard,9,hdfs:///data/CSV/raw-data/3rd-slice/,31,107462293,239.55190864499997,448597.1061881706,10898.749529838562,2026-04-19T11:11:35.297288+00:00,2026-04-19T11:15:34.849247+00:00,55.723939396313945,56.40625,0.7291316365369681,10.30646940822461,138.3,"[74.10511534603847, 74.75852557673038, 74.81614844533611, 74.62116349047194]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,19190.578125,7.51953125,22139.784210205078,22139.804050445557,0,Ingestion finished successfully,90
ingestion,standard,10,hdfs:///data/CSV/raw-data/4th-slice/,115,634773754,1456.449484546,435836.4369896906,60401.12620449066,2026-04-19T11:26:41.199121+00:00,2026-04-19T11:50:57.648645+00:00,58.75634367093128,62.2421875,0.8045703067405359,9.624722494286875,71.4,"[71.42871367939829, 72.04342148220678, 71.6031260202406, 71.35714985308435]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,119070.359375,37.796875,122605.43467521667,122605.435172081,0,Ingestion finished successfully,491
ingestion,standard,11,hdfs:///data/CSV/raw-data/4th-slice/,115,634773754,1460.683875439,434572.9864439165,60401.12620449066,2026-04-19T12:03:18.781197+00:00,2026-04-19T12:27:39.465108+00:00,58.742094236371415,62.328125,0.805680766416705,9.68683996088676,124.2,"[71.76458604954297, 71.43573174706529, 71.51896186440621, 71.37446219035121]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,119072.87890625,37.37109375,122620.68913841248,122620.70909309387,0,Ingestion finished successfully,491
ingestion,standard,12,hdfs:///data/CSV/raw-data/4th-slice/,115,634773754,1536.446386,413144.0965230009,60401.12620449066,2026-04-19T12:39:05.256514+00:00,2026-04-19T13:04:41.702934+00:00,58.98966952859625,62.5234375,0.8082050536295506,10.073899992100703,69.1,"[72.51423493166844, 73.13899992100488, 72.98054348684698, 72.31719725096703]","[100.0, 100.0, 100.0, 100.0]",0.0,0.00390625,119373.3271484375,1909.58203125,122636.32748508453,122775.62219047546,0,Ingestion finished successfully,491
