stage,operation,test_number,slice_name,parquet_path,total_files,total_rows_in_dataset,total_rows_used_ml,execution_time_sec,throughput_total_rows_sec,throughput_rows_used_ml_sec,execution_time_sec_train,execution_time_sec_pred,threads,chunksize,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,mae,rmse,r2,msg
machine learning,in-memory,1,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.64244996000002,680910.602173951,637107.112244552,0.774263480999991,0.103532362999999,3,0,79.1833543777466,2026-04-16T00:35:14.497014+01:00,2026-04-16T00:35:20.247087+01:00,958.199739583333,1944.66796875,23.3770899024927,116.333333333333,290.4,"[88.55666666666667, 9.493333333333334, 31.136666666666667, 9.066666666666666]","[100.0, 33.3, 100.0, 75.0]",83.25390625,0,161.890625,0.7265625,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,in-memory,2,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.349437734,718207.069797441,672004.270122046,0.750245188000001,0.0243894270000027,3,0,79.1833543777466,2026-04-16T00:47:08.492078+01:00,2026-04-16T00:47:13.944075+01:00,951.178125,1942.109375,23.3463436990511,115.906666666667,281.7,"[5.896666666666666, 90.12000000000002, 10.599999999999998, 2.576666666666666]","[100.0, 100.0, 66.7, 33.3]",83.12890625,0,83.12890625,2.07421875,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,in-memory,3,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.36866584000001,715634.780502561,669597.458127511,0.712696179000005,0.0228338430000008,3,0,79.1833543777466,2026-04-16T00:50:13.565222+01:00,2026-04-16T00:50:19.116855+01:00,947.183227539063,1942.796875,23.3545972572121,119.459375,282,"[90.921875, 10.140624999999998, 4.465625, 3.83125]","[100.0, 100.0, 90.0, 40.0]",83.25390625,0,83.25390625,0.28125,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,in-memory,4,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.090913955,754678.63608785,706129.593188145,0.690339324,0.0273417100000017,0,0,79.1833543777466,2026-04-16T00:53:57.732582+01:00,2026-04-16T00:54:02.944776+01:00,902.445482336957,1944.68359375,23.377277732516,114.878260869565,266.2,"[1.8391304347826085, 89.41739130434782, 4.2043478260869565, 7.517391304347825]","[25.0, 100.0, 50.0, 50.0]",83.48046875,0,83.48046875,0.01953125,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,in-memory,5,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.32145858,721983.257454952,675537.532794252,0.734603622999998,0.0251164660000001,0,0,79.1833543777466,2026-04-16T00:56:32.136777+01:00,2026-04-16T00:56:37.558758+01:00,772.524147727273,1945.24609375,23.3840396133519,114.290909090909,159,"[3.372727272727273, 3.7090909090909094, 90.16818181818182, 7.968181818181819]","[50.0, 50.0, 100.0, 50.0]",83.35546875,0,83.35546875,0.3671875,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,in-memory,6,1st-slice,../data/parquet/1st-slice_compacted/,1,3842004,3594845,5.223266641,735555.786074985,688236.930464603,0.732935756000003,0.0401274779999952,0,0,79.1833543777466,2026-04-16T01:00:15.725439+01:00,2026-04-16T01:00:21.049870+01:00,838.368430397727,1899.26953125,22.8313497700256,120.468181818182,230.2,"[4.3, 39.31818181818182, 2.459090909090909, 53.38636363636363]","[18.2, 100.0, 15.4, 100.0]",83.35546875,0,83.6484375,0.64111328125,2.46661419421173,3.42140410133922,0.271308036336965,Machine learning algorithm completed
machine learning,chunking,7,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,64.936326966,802075.208646627,770541.056721585,63.422252142,1.514064996,3,98304,1071.23331069946,2026-04-16T12:27:32.618982+01:00,2026-04-16T12:28:37.561873+01:00,898.848268072289,2699.11328125,32.4463686586823,109.440963855422,129.6,"[6.184337349397593, 7.891566265060242, 60.97084337349396, 26.65445783132529]","[100.0, 100.0, 100.0, 100.0]",1039.453125,0,1120.08203125,0.75390625,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,8,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,63.279629549,823074.002980207,790714.268661371,62.770319216,0.509301973999996,3,98304,1071.23331069946,2026-04-16T12:38:26.027177+01:00,2026-04-16T12:39:29.364521+01:00,902.350112452652,1916.4140625,23.0374570808195,109.744191919192,133.3,"[28.499999999999996, 4.403282828282826, 9.50050505050505, 57.0229797979798]","[100.0, 100.0, 100.0, 100.0]",1039.3359375,0,1119.5078125,0.8125,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,9,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,62.590719511,832133.236475202,799417.332008884,62.091283524,0.499427123000004,3,98304,1071.23331069946,2026-04-16T12:42:25.661140+01:00,2026-04-16T12:43:28.303116+01:00,901.322395169005,2662.0859375,32.0012584611556,109.071173469388,139.2,"[7.42091836734694, 53.771938775510236, 38.35714285714287, 2.488010204081634]","[100.0, 100.0, 100.0, 71.4]",1039.3203125,0,1119.328125,0.7578125,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,10,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,62.694916859,830750.252323259,798088.720853247,62.179535027,0.515372947000003,0,98304,1071.23331069946,2026-04-16T12:57:04.035875+01:00,2026-04-16T12:58:06.740826+01:00,898.60617659396,2622.3828125,31.5239379635873,106.392281879195,125.9,"[22.04161073825503, 5.836912751677851, 72.40469798657722, 1.96510067114094]","[100.0, 100.0, 100.0, 90.0]",1039.30078125,0,1119.6015625,0.8046875,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,11,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,61.596926493,845558.714782935,812314.978178111,61.084914963,0.512002051000025,0,98304,1071.23331069946,2026-04-16T13:01:49.111082+01:00,2026-04-16T13:02:50.759866+01:00,905.07345512218,2639.80078125,31.7333956929596,105.975187969925,123.1,"[8.359398496240594, 75.21729323308276, 1.343233082706767, 11.633834586466167]","[100.0, 100.0, 16.7, 100.0]",1039.3125,0,1039.70703125,0.49609375,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,12,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,61.359211009,848834.545678244,815462.017473804,60.785354531,0.573847162999996,0,98304,1071.23331069946,2026-04-16T13:06:49.172218+01:00,2026-04-16T13:07:50.541583+01:00,883.795060861423,1514.5703125,18.2068337258198,105.889513108614,121,"[42.361797752808954, 15.626217228464423, 29.779775280898896, 13.100749063670413]","[100.0, 100.0, 100.0, 100.0]",1039.3046875,0,1119.96484375,1.89453125,5.03764511044305,6.54469330597074,-1.64749632391049,Machine learning algorithm completed
machine learning,chunking,100,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,67.723439356,769066.345349243,738829.960140927,65.906230292,1.817199774,3,499712,1071.23331069946,2026-04-16T13:13:15.141477+01:00,2026-04-16T13:14:22.939180+01:00,1024.51612510813,2802.92578125,33.6943271549749,109.283044982699,150.9,"[30.350519031141864, 42.39480968858131, 25.64775086505192, 5.435640138408306]","[100.0, 100.0, 100.0, 100.0]",1039.8828125,0,1120.0703125,1.44921875,5.20605821011798,6.68855769914017,-1.76792070726324,Machine learning algorithm completed
machine learning,chunking,101,2nd-slice,../data/parquet/2nd-slice_compacted/,14,52083818,50036106,63.30827131,822701.630012333,790356.535799082,62.79464898,0.513612467000002,0,499712,1071.23331069946,2026-04-16T13:20:34.712826+01:00,2026-04-16T13:21:38.128316+01:00,1001.28438064079,2024.671875,24.3388380077987,109.420938628159,141,"[9.937545126353788, 50.80722021660646, 33.73971119133574, 10.814079422382674]","[100.0, 100.0, 100.0, 100.0]",1039.71875,0,1119.41796875,0.93359375,5.20605821011798,6.68855769914017,-1.76792070726324,Machine learning algorithm completed
machine learning,chunking,13,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,135.590522842,790197.011961162,770401.203642554,130.349098363,5.24141376,3,98304,2199.42688846588,2026-04-16T13:26:09.646278+01:00,2026-04-16T13:28:25.279153+01:00,1596.46744791667,5440.68359375,65.4031491596481,105.944973544973,190.1,"[2.764373897707231, 19.33298059964726, 60.40070546737222, 15.195061728395071]","[100.0, 100.0, 100.0, 100.0]",2140.66015625,0,2220.890625,9.55078125,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
machine learning,chunking,14,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,128.462775501,834041.033148672,813146.855909141,126.710004922,1.75275990200001,3,98304,2199.42688846588,2026-04-16T13:31:16.847443+01:00,2026-04-16T13:33:25.339807+01:00,1537.41412191065,5431.85546875,65.2968718377114,106.514828897338,294.9,"[17.008555133079845, 28.845247148288934, 32.01178707224333, 20.28973384030418]","[100.0, 100.0, 100.0, 100.0]",2140.6484375,0,2220.93359375,10.19140625,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
machine learning,chunking,15,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,130.984293263,817985.296793333,797493.343650443,129.086445729,1.89783707699999,3,98304,2199.42688846588,2026-04-16T13:35:39.708039+01:00,2026-04-16T13:37:50.762358+01:00,1557.35633598197,5435.28125,65.338176217432,105.353510436433,402.2,"[4.4235294117647035, 59.44326375711582, 28.779696394686898, 3.8379506641366232]","[100.0, 100.0, 100.0, 100.0]",2140.66796875,0,2141.078125,4.6484375,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
machine learning,chunking,16,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,127.949340721,837387.870826402,816409.849487059,125.934070314,2.01526304999999,0,98304,2199.42688846588,2026-04-16T15:11:05.694857+01:00,2026-04-16T15:13:13.754796+01:00,1634.67200203252,5551.69140625,66.7376195245736,106.380325203252,231.9,"[37.29934959349587, 55.77414634146345, 2.9356097560975596, 3.439999999999998]","[100.0, 100.0, 100.0, 100.0]",2140.15625,0,2220.3828125,10.015625,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
machine learning,chunking,17,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,128.785039668,831953.977544354,811112.084674503,126.9869148,1.79811287499999,0,98304,2199.42688846588,2026-04-16T15:16:40.743907+01:00,2026-04-16T15:18:49.553266+01:00,1589.40086742767,5234.765625,62.9276353324515,105.151898734177,120.4,"[13.972513562386974, 58.835623869801104, 11.570705244122966, 12.590054249547936]","[100.0, 100.0, 100.0, 100.0]",2140.03125,0,2219.54296875,3.84765625,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
machine learning,chunking,18,3rd-slice,../data/parquet/3rd-slice_compacted/,31,107143226,104459102,131.969962098,811875.856419783,791536.955374962,130.125497528,1.844453109,0,98304,2199.42688846588,2026-04-16T15:22:12.384375+01:00,2026-04-16T15:24:24.409159+01:00,1594.74443600502,5428.7109375,65.2591936926678,106.260185185185,232.4,"[30.420524691358008, 14.608024691358018, 51.275771604938335, 2.77191358024691]","[100.0, 100.0, 100.0, 100.0]",2140.1640625,0,2220.4453125,11.15625,4.05891324424416,5.40322754527734,-0.801701262142027,Machine learning algorithm completed
