counter,stage,operation,slice_name,parquet_path,query_name,total_files,total_rows_in_dataset,rows_returned,threads,parquet_files_size_mib,msg,execution_time_sec_average,execution_time_sec_standard_deviation,execution_time_sec_min,execution_time_sec_max,throughput_rows_sec_average,throughput_rows_sec_standard_deviation,throughput_rows_sec_min,throughput_rows_sec_max,avg_rss_mib_average,avg_rss_mib_standard_deviation,avg_rss_mib_min,avg_rss_mib_max,peak_rss_mib_average,peak_rss_mib_standard_deviation,peak_rss_mib_min,peak_rss_mib_max,memory_percent_of_total_average,memory_percent_of_total_standard_deviation,memory_percent_of_total_min,memory_percent_of_total_max,avg_process_cpu_percent_average,avg_process_cpu_percent_standard_deviation,avg_process_cpu_percent_min,avg_process_cpu_percent_max,peak_process_cpu_percent_average,peak_process_cpu_percent_standard_deviation,peak_process_cpu_percent_min,peak_process_cpu_percent_max,logical_read_mib_average,logical_read_mib_standard_deviation,logical_read_mib_min,logical_read_mib_max,logical_write_mib_average,logical_write_mib_standard_deviation,logical_write_mib_min,logical_write_mib_max,physical_read_mib_average,physical_read_mib_standard_deviation,physical_read_mib_min,physical_read_mib_max,physical_write_mib_average,physical_write_mib_standard_deviation,physical_write_mib_min,physical_write_mib_max,peak_system_cpu_per_core_percent_average,peak_system_cpu_per_core_percent_standard_deviation,peak_system_cpu_per_core_percent_min,peak_system_cpu_per_core_percent_max,avg_system_cpu_per_core_percent_average,avg_system_cpu_per_core_percent_standard_deviation,avg_system_cpu_per_core_percent_min,avg_system_cpu_per_core_percent_max,rows_in_group
1,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,3,79.183354,Query was processed successfully,0.136894,0.016332,0.125002,0.155515,28318951.221615,3188573.579722,24704995.366082,30735432.044366,129.910156,2.177492,128.007812,132.285156,131.406250,4.702768,128.007812,136.773438,1.579651,0.056533,1.538797,1.644171,133.400000,7.351190,126.600000,141.200000,137.833333,9.985156,126.600000,145.700000,3.104167,3.263228,1.000000,6.863281,0.000000,0.000000,0,0,3.252604,3.136454,1.203125,6.863281,0.000000,0.000000,0.000000,0.000000,"[33.333333333333336, 39.9, 33.333333333333336, 48.13333333333333]","[57.735026918962575, 8.883130078975542, 57.735026918962575, 50.10442428901198]","[0.0, 33.3, 0.0, 0.0]","[100.0, 50.0, 100.0, 100.0]","[20.0, 33.833333333333336, 25.75, 40.733333333333334]","[34.64101615137755, 15.906707180725158, 44.60030829489859, 52.51298252178535]","[0.0, 18.2, 0.0, 0.0]","[60.0, 50.0, 77.25, 100.0]",3
2,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q1_monthly_payment_statistics,1,3842004,5,0,79.183354,Query was processed successfully,0.119361,0.007530,0.111781,0.126840,32274044.133666,2042759.185464,30290065.788031,34370903.223186,129.143229,0.504940,128.570312,129.523438,129.143229,0.504940,128.570312,129.523438,1.552445,0.006071,1.545556,1.557016,138.900000,48.061211,92.300000,188.300000,138.900000,48.061211,92.300000,188.300000,1.242188,0.142082,1.078125,1.324219,0.000000,0.000000,0,0,1.544271,0.159360,1.375000,1.691406,0.000000,0.000000,0.000000,0.000000,"[55.56666666666666, 50.0, 11.1, 83.33333333333333]","[50.921148193391446, 50.0, 19.225763964014536, 28.867513459481287]","[0.0, 0.0, 0.0, 50.0]","[100.0, 100.0, 33.3, 100.0]","[55.56666666666666, 50.0, 11.1, 83.33333333333333]","[50.921148193391446, 50.0, 19.225763964014536, 28.867513459481287]","[0.0, 0.0, 0.0, 50.0]","[100.0, 100.0, 33.3, 100.0]",3
3,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,3,79.183354,Query was processed successfully,0.228231,0.007415,0.222105,0.236475,16845533.781085,540553.881699,16246996.169502,17298142.225133,136.468750,0.083848,136.373047,136.529297,143.735677,0.249583,143.578125,144.023438,1.727862,0.003002,1.725967,1.731323,167.850000,15.598798,151.450000,182.500000,194.433333,6.639528,190.600000,202.100000,22.098958,3.239469,19.804688,25.804688,0.000000,0.000000,0,0,22.454427,3.799362,19.812500,26.808594,0.000000,0.000000,0.000000,0.000000,"[69.46666666666665, 51.86666666666667, 71.89999999999999, 61.6]","[4.792007234273892, 12.911364503155092, 19.178894650109534, 5.604462507680822]","[66.7, 37.5, 50.0, 55.6]","[75.0, 62.5, 85.7, 66.7]","[48.550000000000004, 34.266666666666666, 51.833333333333336, 46.35]","[10.913752791776075, 19.568490829221687, 21.105054686812196, 17.825613593927137]","[42.05, 18.75, 39.3, 27.8]","[61.150000000000006, 56.25, 76.2, 63.35]",3
4,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q2_most_valuable_routes,1,3842004,100,0,79.183354,Query was processed successfully,0.210107,0.005664,0.203974,0.215142,18294875.522528,497101.313354,17857974.532973,18835735.477050,138.044271,0.414248,137.777344,138.521484,146.664062,0.973879,146.027344,147.785156,1.763067,0.011707,1.755412,1.776543,180.100000,13.306483,164.850000,189.350000,234.133333,9.802211,223.800000,243.300000,24.250000,1.799773,22.585938,26.160156,0.000000,0.000000,0,0,24.718750,2.074465,22.546875,26.679688,0.165365,0.286420,0.000000,0.496094,"[74.10000000000001, 74.1, 89.66666666666667, 87.5]","[23.106492594074073, 23.106492594074073, 9.02902726396002, 21.650635094610966]","[55.6, 55.6, 83.3, 62.5]","[100.0, 100.0, 100.0, 100.0]","[63.71666666666667, 47.050000000000004, 69.83333333333333, 59.96666666666666]","[17.961788144094488, 28.670149982167864, 28.707678995929527, 25.11097037817004]","[44.45, 27.8, 42.85, 31.25]","[80.0, 80.0, 100.0, 77.8]",3
5,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q3_hourly_demand_and_speed,1,3842004,24,3,79.183354,Query was processed successfully,0.230467,0.008898,0.224543,0.240699,16686731.102099,630749.783012,15961833.161202,17110315.334322,135.409505,0.253247,135.117188,135.562500,141.416667,0.548732,140.843750,141.937500,1.699986,0.006597,1.693100,1.706249,152.483333,17.988214,132.200000,166.500000,174.000000,10.222035,162.300000,181.200000,32.733073,2.425723,30.253906,35.101562,0.000000,0.000000,0,0,32.916667,2.161079,30.792969,35.113281,0.000000,0.000000,0.000000,0.000000,"[54.73333333333333, 56.03333333333333, 83.33333333333333, 56.666666666666664]","[15.29586000633287, 6.261256529909419, 14.433756729740644, 5.773502691896258]","[37.5, 50.0, 75.0, 50.0]","[66.7, 62.5, 100.0, 60.0]","[36.63333333333333, 44.68333333333333, 50.0, 28.333333333333332]","[21.96453580964855, 10.116117502942188, 12.5, 2.886751345948129]","[18.75, 33.35, 37.5, 25.0]","[61.150000000000006, 52.8, 62.5, 30.0]",3
6,queries,standard,1st-slice,../data/parquet/1st-slice_compacted/,q3_hourly_demand_and_speed,1,3842004,24,0,79.183354,Query was processed successfully,0.211601,0.007262,0.205454,0.219614,18170970.215922,616228.888261,17494380.084236,18700072.482904,136.548828,0.888818,135.585938,137.337891,143.904948,1.840919,141.781250,145.046875,1.729899,0.022130,1.704370,1.743626,170.150000,19.221277,155.850000,192.000000,243.600000,29.517283,222.900000,277.400000,47.161458,8.237555,40.074219,56.199219,0.000000,0.000000,0,0,48.095052,7.957799,40.519531,56.386719,0.000000,0.000000,0.000000,0.000000,"[60.9, 73.96666666666667, 83.33333333333333, 74.56666666666666]","[11.376730637577742, 22.700734202517182, 14.433756729740644, 23.219890898394276]","[50.0, 58.3, 75.0, 54.5]","[72.7, 100.0, 100.0, 100.0]","[37.11666666666667, 51.98333333333334, 61.11666666666667, 57.73333333333333]","[7.5293315329671415, 19.19194709593931, 30.722399537362527, 26.307144150084653]","[30.0, 31.8, 37.5, 34.6]","[45.0, 70.0, 95.85, 86.35]",3
7,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q1_monthly_payment_statistics,14,52083818,71,3,1071.233311,Query was processed successfully,0.830581,0.033269,0.795580,0.861794,62775302.419975,2533448.801297,60436494.978169,65466497.073105,142.684439,0.603506,142.033854,143.226004,150.944010,0.363981,150.546875,151.261719,1.814517,0.004376,1.809742,1.818336,194.062103,7.094514,186.212500,200.016667,214.900000,1.135782,214.100000,216.200000,41.795573,1.127279,40.515625,42.640625,0.000000,0.000000,0,0,42.132812,0.873717,41.136719,42.769531,0.148438,0.257101,0.000000,0.445312,"[64.63333333333334, 63.93333333333334, 95.83333333333333, 68.89999999999999]","[1.7897858344878408, 2.615976554431125, 7.216878364870322, 1.9052558883257633]","[63.6, 61.5, 87.5, 66.7]","[66.7, 66.7, 100.0, 70.0]","[53.54007936507937, 46.71527777777778, 53.84146825396825, 50.405158730158725]","[4.1102294015276275, 0.7141955134845654, 4.298575128339137, 10.282134127623655]","[48.825, 45.9625, 50.083333333333336, 39.175]","[56.36666666666667, 47.38333333333333, 58.52857142857143, 59.35714285714287]",3
8,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q1_monthly_payment_statistics,14,52083818,71,0,1071.233311,Query was processed successfully,0.743378,0.014086,0.728496,0.756503,70080507.606649,1332782.205592,68848154.948260,71494987.513165,142.545852,0.584360,142.166016,143.218750,150.593750,0.413897,150.117188,150.863281,1.810305,0.004974,1.804577,1.813542,238.619048,4.691380,235.500000,244.014286,275.133333,3.271595,271.400000,277.500000,41.902344,3.484399,37.878906,43.914062,0.000000,0.000000,0,0,41.938802,3.421251,37.988281,43.914062,0.000163,0.000282,0.000000,0.000488,"[67.3, 69.8, 100.0, 70.89999999999999]","[5.12640224719052, 3.0049958402633434, 0.0, 1.558845726811991]","[62.5, 66.7, 100.0, 70.0]","[72.7, 72.7, 100.0, 72.7]","[54.62063492063492, 54.84285714285715, 77.62063492063491, 54.23809523809524]","[2.701584037451628, 4.615612370100031, 4.4404355502629835, 0.8725207831374554]","[52.885714285714286, 50.51428571428572, 74.72857142857143, 53.67142857142857]","[57.73333333333333, 59.70000000000001, 82.73333333333333, 55.24285714285714]",3
9,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q2_most_valuable_routes,14,52083818,100,3,1071.233311,Query was processed successfully,1.962651,0.098562,1.849441,2.029367,26583457.864944,1373076.987822,25665051.064026,28161918.664533,212.079828,2.576141,210.317491,215.036358,306.256510,3.628182,302.394531,309.593750,3.681547,0.043615,3.635121,3.721664,218.243590,3.721093,213.977778,220.822222,243.300000,6.555151,236.600000,249.700000,391.326823,0.144338,391.160156,391.410156,0.000000,0.000000,0,0,391.635417,0.390162,391.410156,392.085938,0.023438,0.031005,0.000000,0.058594,"[70.36666666666667, 75.30000000000001, 96.96666666666665, 73.96666666666667]","[33.96561987264966, 5.666568626602871, 5.253887449625592, 3.3827996294982214]","[33.3, 71.4, 90.9, 71.4]","[100.0, 81.8, 100.0, 77.8]","[39.46723646723647, 58.59786324786325, 76.89814814814815, 62.41866096866099]","[23.792787638570104, 8.118071853599595, 11.582466438828334, 3.8707090403350195]","[13.777777777777777, 49.25000000000001, 64.19999999999999, 58.7388888888889]","[60.74615384615385, 63.876923076923084, 86.88333333333335, 66.45555555555558]",3
10,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q2_most_valuable_routes,14,52083818,100,0,1071.233311,Query was processed successfully,1.763715,0.022091,1.739949,1.783623,29533841.430776,371123.125877,29201135.557885,29934101.349094,208.943663,4.764435,203.515885,212.434896,306.214844,7.524736,298.015625,312.804688,3.681045,0.090453,3.582484,3.760258,264.597778,0.682783,263.953333,265.313333,298.333333,3.382800,294.500000,300.900000,391.217448,0.333781,390.832031,391.410156,0.000000,0.000000,0,0,391.945312,1.851760,390.226562,393.906250,0.225260,0.107001,0.109375,0.320312,"[73.46666666666665, 78.66666666666667, 100.0, 76.66666666666667]","[1.3279056191361376, 5.424327915358114, 0.0, 2.8867513459481287]","[72.7, 72.7, 100.0, 75.0]","[75.0, 83.3, 100.0, 80.0]","[62.455555555555556, 63.02444444444445, 87.75333333333333, 65.70666666666668]","[2.646795406888471, 1.4538582130674538, 2.962161373051773, 1.4339843482796857]","[59.60000000000001, 61.34666666666668, 85.27333333333334, 64.08666666666667]","[64.82666666666667, 63.913333333333334, 91.03333333333333, 66.81333333333335]",3
11,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q3_hourly_demand_and_speed,14,52083818,24,3,1071.233311,Query was processed successfully,1.929968,0.074258,1.859912,2.007814,27013389.397167,1033900.742231,25940563.963717,28003382.246606,149.883789,0.123464,149.802160,150.025825,159.444010,0.078158,159.367188,159.523438,1.916696,0.000939,1.915773,1.917651,207.481513,3.073244,205.050000,210.935714,231.666667,4.373023,228.800000,236.700000,688.733073,16.750415,674.078125,706.992188,0.000000,0.000000,0,0,689.204427,17.179107,673.523438,707.566406,0.342448,0.109119,0.246094,0.460938,"[71.5, 82.33333333333333, 92.96666666666665, 78.39999999999999]","[5.699999999999997, 15.892555909397748, 6.115826463637871, 7.964295323504772]","[66.7, 69.2, 88.9, 72.7]","[77.8, 100.0, 100.0, 87.5]","[53.9706504824152, 35.606162464986, 72.61553065670712, 60.17958294428883]","[8.563098045769667, 3.3224485470947784, 8.904187449515312, 3.150615276245567]","[44.129411764705885, 33.349999999999994, 62.42142857142858, 57.51176470588236]","[59.721428571428575, 39.42142857142858, 78.8722222222222, 63.655555555555566]",3
12,queries,standard,2nd-slice,../data/parquet/2nd-slice_compacted/,q3_hourly_demand_and_speed,14,52083818,24,0,1071.233311,Query was processed successfully,1.683882,0.026836,1.659468,1.712616,30936028.400036,491235.053963,30411853.456605,31385845.330685,152.341797,0.176574,152.147879,152.493304,162.134115,0.776178,161.242188,162.656250,1.949033,0.009333,1.938308,1.955311,259.061905,4.631251,254.071429,263.221429,285.500000,3.764306,282.800000,289.800000,690.700521,13.225154,681.445312,705.847656,0.000000,0.000000,0,0,691.028646,13.463428,681.792969,706.476562,0.085938,0.077831,0.039062,0.175781,"[75.0, 74.10000000000001, 100.0, 75.89999999999999]","[5.0, 2.4248711305964297, 0.0, 3.7322915213043033]","[70.0, 72.7, 100.0, 72.7]","[80.0, 76.9, 100.0, 80.0]","[61.89047619047619, 61.728571428571435, 82.36666666666667, 63.554761904761904]","[2.4535411032991026, 1.9643246749382925, 0.49725436625725467, 1.3740735902026868]","[59.72857142857144, 60.04285714285715, 81.92857142857143, 62.39285714285715]","[64.55714285714285, 63.88571428571429, 82.90714285714286, 65.07142857142857]",3
13,queries,standard,3rd-slice,../data/parquet/3rd-slice_compacted/,q1_monthly_payment_statistics,31,107143226,158,0,2199.426888,Query was processed successfully,1.445301,0.009942,1.437237,1.456410,74134434.954109,508521.400627,73566683.902523,74548072.078470,151.758973,0.826567,150.992513,152.634766,167.855469,1.561557,166.398438,169.503906,2.017812,0.018772,2.000297,2.037629,251.887393,1.353677,250.966667,253.441667,278.033333,0.115470,277.900000,278.100000,87.710938,2.645437,84.656250,89.238281,0.000000,0.000000,0,0,87.651042,2.483467,84.789062,89.238281,0.779948,0.678163,0.000000,1.230469,"[81.66666666666667, 81.8, 100.0, 72.7]","[16.072751268321593, 15.761662348876781, 0.0, 0.0]","[70.0, 72.7, 100.0, 72.7]","[100.0, 100.0, 100.0, 72.7]","[59.511324786324785, 57.91410256410256, 86.48376068376068, 60.80662393162393]","[3.494569983236931, 3.3875397719837705, 3.971049818246589, 5.2612337286381115]","[56.949999999999996, 55.53333333333333, 83.325, 55.13333333333333]","[63.4923076923077, 61.792307692307695, 90.94166666666666, 65.52500000000002]",3
14,queries,standard,3rd-slice,../data/parquet/3rd-slice_compacted/,q2_most_valuable_routes,31,107143226,100,0,2199.426888,Query was processed successfully,3.523345,0.082426,3.464735,3.617594,30420487.128860,703026.869072,29617262.051749,30923927.390863,244.198024,1.329471,243.428125,245.733163,390.559896,6.636057,384.046875,397.312500,4.694969,0.079772,4.616676,4.776142,272.624253,2.658798,270.720690,275.662069,295.433333,2.730079,292.300000,297.300000,793.351562,5.033773,787.539062,796.257812,0.000000,0.000000,0,0,793.373698,4.995433,787.605469,796.257812,0.001302,0.002255,0.000000,0.003906,"[75.16666666666667, 77.60000000000001, 100.0, 85.93333333333334]","[2.5540817005987337, 2.5059928172283334, 0.0, 12.231652927275748]","[72.7, 75.0, 100.0, 77.8]","[77.8, 80.0, 100.0, 100.0]","[62.0600766283525, 62.028697318007666, 92.2727203065134, 66.0365134099617]","[0.25365660719472405, 1.5802261492257939, 0.6716012512128361, 0.41912097352945715]","[61.77333333333334, 60.94137931034483, 91.63448275862069, 65.6241379310345]","[62.2551724137931, 63.841379310344834, 92.97333333333334, 66.46206896551725]",3
15,queries,standard,4th-slice,../data/parquet/4th-slice_compacted/,q1_monthly_payment_statistics,115,633413894,567,0,12072.795836,Query was processed successfully,7.880902,0.256533,7.688266,8.172099,80429203.759677,2577247.162613,77509330.018876,82387092.375266,239.101790,1.233363,237.941964,240.397446,329.010417,0.457487,328.695312,329.535156,3.955074,0.005500,3.951286,3.961382,269.580131,4.316052,264.938806,273.473016,298.833333,4.020365,294.200000,301.400000,471.464844,1.079843,470.750000,472.707031,0.000000,0.000000,0,0,471.485677,0.791537,470.816406,472.359375,1.044434,0.894372,0.015625,1.636719,"[81.10000000000001, 93.93333333333334, 100.0, 81.46666666666665]","[1.9052558883257633, 10.507774899251192, 0.0, 3.1754264805429417]","[80.0, 81.8, 100.0, 77.8]","[83.3, 100.0, 100.0, 83.3]","[63.36735370765219, 64.55478164731893, 88.5198136302614, 65.40092395167021]","[0.1258904657967385, 1.810173324715201, 0.6026254002566681, 0.9930360758173185]","[63.29253731343282, 62.486567164179085, 87.83880597014924, 64.33134328358209]","[63.51269841269839, 65.85079365079363, 88.98412698412699, 66.29365079365078]",3
16,queries,standard,4th-slice,../data/parquet/4th-slice_compacted/,q2_most_valuable_routes,115,633413894,100,0,12072.795836,Query was processed successfully,19.314361,0.130315,19.169154,19.421143,32795968.722224,221882.419220,32614655.595538,33043392.535104,562.992945,0.219616,562.758907,563.194526,1133.419271,0.997107,1132.304688,1134.226562,13.624971,0.011986,13.611572,13.634675,279.590786,0.951117,278.902548,280.676101,304.333333,1.656301,302.600000,305.900000,4039.065104,0.110508,4038.937500,4039.128906,0.000000,0.000000,0,0,4039.065104,0.110508,4038.937500,4039.128906,1.506510,0.502334,0.964844,1.957031,"[87.26666666666667, 84.73333333333333, 100.0, 80.60000000000001]","[11.064055916947154, 5.58957362715023, 0.0, 1.0392304845413247]","[80.0, 80.0, 100.0, 80.0]","[100.0, 90.9, 100.0, 81.8]","[64.48822524002195, 64.31694107278777, 94.0735261520383, 66.4124117026533]","[0.18025871125980986, 0.6287985457808224, 0.18597357731489325, 0.46645410474512133]","[64.291719745223, 63.76100628930821, 93.940251572327, 65.9101910828026]","[64.64591194968555, 64.99937106918246, 94.28598726114643, 66.83207547169816]",3
